Store Name,storeAddress,Store Phone,storeEmail,Mon - Fri Hours,Sat Hours,Sun Hours
Dixie Mall,"1250 South Service Road, Unit K9A, Mississauga, ON L5E 1V4",905 909 8000,dixie@wdna.ca,10:00 am to 9:00 pm,10:00 am to 7:00 pm,11:00 am to 6:00 pm
Westwood Mall,"7205 Goreway Drive, Unit K3, Mississauga, ON L4T 2T9",905-678-8850,westwood@wdna.ca,10:00 am to 9:00 pm,9:30 am to 6:00 pm,12:00 pm to 5:00 pm
Agincourt Mall - Fido & Rogers,"3850 Sheppard Ave E Unit 0075, Toronto, ON M1T3L4",416-609-3436,agincourt@wdna.ca,10:00 am to 9:00 pm,10:00 am to 6:00 pm,12:00 pm to 5:00 pm
Majestic City,"2900 Markham Road, Unit A47, Scarborough, ON M1X 1E6",416-412-7525,Majestic@wdna.ca,11:00 am to 8:00 pm,10:00 am to 6:00 pm,12:00 pm to 5:00 pm
East York Town Centre - Rogers,"45 Overlea Blvd. Unit 148, Toronto, ON M4H 1C3",416-429-6968,eastyork@wirelessguru.ca,10:00 am to 8:00 pm,10:00 am to 6:00 pm,12:00 pm to 5:00 pm
Pacific Mall - Rogers,"4300 Steeles Ave. E, Unit E51, Markham, ON L3R 0Y5",905-944-9959,pacificrogers@wirelessguru.ca,11:00 am to 7:00 pm,11:00 am to 7:00 pm,11:00 pm to 7:00 pm
Albion Mall,"1530 Albion Road, Unit 37C, Etobicoke, ON M9V 1B4",647-350-3436,albion@wdna.ca,10:00 am to 9:00 pm,9:30 am to 6:00 pm,12:00 pm to 5:00 pm
Brantford Mall,"84 Lynden Road, Unit K03, Brantford, ON N3R 6B8",519-757-1136,brantford@wdna.ca,10:00 am to 9:00 pm,9:30 am to 6:00 pm,12:00 pm to 5:00 pm
Burlington Mall,"777 Guelph Line, Unit K018, Burlington, ON N3R 6B8",289-288-0088,burlington@wdna.ca,10:00 am to 9:00 pm,9:30 am to 6:00 pm,11:00 am to 6:00 pm
China Town Centre,"222 Spadina Avenue; Unit 103 B, Toronto, ON M5T 3B3",647-347-8850,chinatown@wdna.ca,11:00 am to 7:00 pm,11:00 am to 7:00 pm,12:00 pm to 5:00 pm
